"","Amphipoda sp1 FW_014_02","Aphrophila noevaezelandiae","Archichauliodes diversus","Austroperla cyrene","Autrosimilium australense","Coloburiscus humeralis","Costachorema xanthoptera","Deleatidium sp1 FW_014_02","Eukiefiriella","Helicopsyche albescens","Hudsonema aliena","Hydora nitida adult","Hydora nitida larvae","Hydraena homalaena sp1 FW_014_02","Hydraena orchymontia","Hydrobiosid sp1 FW_014_02","Larsia II","Maoridiamesea","Nannochorista philpotti","Naonella","Oligochaeta type I","Oligochaeta type II","Oligochaeta type weak-long-short","Olinga feredayi","Orthoclad sp1 FW_014_02","Oxyethira albiceps","Philorheithrus agilis","Pirara","Podonomus","Polypedellum","Polyplectropus puerilis","Potamopyrgus antipodarum","Psilachorema bidens","Pycnocentria sp1 FW_014_02","Pycnocentrodes evecta","Salmo trutta","Scirtid type broad","Scirtid type skinny","Tanyderid sp1 FW_014_02","Tanytarsini","Zelandoperla sp1 FW_014_02"
"Frustulia rhomboides",1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Gomphoneis herculeana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gomphonema cf. olivaceum",1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
"Gomphonema parvulum",1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1
"Gomphonema sp1 FW_014_02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gomphonema subclavatum",1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Gomphonema truncatum",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Helicopsyche albescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Hudsonema aliena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Hydrobiosid sp1 FW_014_02",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
