"","Acestrorhyncus lacustris","Astyanax altiparanae","Auchenipterus nuchalis","Benthos","Brycon orbignyanus","Cyphocharax modestus","Hemisorubin platyrhynchos","Hoplias malabaricus","Hoplosternum littorale","Hypophthalmus edentatus","Hypostomus sp","Iheringichthys labrosus","Insects","Leporinus friderici","Leporinus obtusidens","Loricariichthys platymetopon","Other benthos feeders","Other detritus feeders","Other insectivores","Other omnivores","Other piscivores","Parauchenipterus galeatus","Pimelodus maculatus","Plagioscion squamosissimus","Prochilodus lineatus","Pseudoplatystoma corruscans","Pterodoras granulosus","Rhaphiodon vulpinus","Salminus brasiliensis","Schizodon altoparanae","Schizodon borellii","Serrasalmus marginatus","Serrasalmus spilopleura","Steindachnerina insculpta","Trachydoras paraguayensis","Zooplankton"
"Pseudoplatystoma corruscans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
"Pterodoras granulosus",0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0
"Rhaphiodon vulpinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"Salminus brasiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schizodon altoparanae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"Schizodon borellii",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serrasalmus marginatus",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0
"Serrasalmus spilopleura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"Steindachnerina insculpta",0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trachydoras paraguayensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zooplankton",0,0.1,0.2,0,0,0,0,0,0.2,0.7,0,0.1,0,0,0,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.3,0
