"","Abudefduf sexfasciatus","Abudefduf sparoides","Acanthurus triostegus","Actinopterygii","Amanses scopas","Amblygobius sphynx","Amphiprion akallopisos","Amphiprion latifasciatus","Antennablennius velifer","Anthozoa","Apogonichthyoides timorensis","Arachnida","Arothron hispidus","Arothron immaculatus","Arothron nigropunctatus","Asterropteryx semipunctata","Balistapus undulatus","Benthic autotroph","Bivalvia","Blenniella periophthalmus","Bothus pantherinus","Bryozoa","Calotomus spinidens","Cantherhines sandwichiensis","Canthigaster margaritata","Canthigaster valentini","Centropyge bispinosa","Cephalopholis argus","Cephalopoda","Chaetodon auriga","Chaetodon blackburnii","Chaetodon guttatissimus","Chaetodon melannotus","Chaetodon trifasciatus","Chaetodon vagabundus","Cheilinus trilobatus","Cheilio inermis","Cheilodipterus quinquelineatus","Chlorurus sordidus","Chromis dimidiata","Chromis ternatensis","Chromis weberi","Chrysiptera annulata","Chrysiptera biocellata","Chrysiptera brownriggii","Cirripectes variolosus","Cirripedia","Cociella crocodilus","Conger cinereus","Coris caudimacula","Corythoichthys intestinalis","Ctenochaetus striatus","Dascyllus aruanus","Dascyllus trimaculatus","Decapoda sp1 FW_017","Detritus","Dinematichthys iluocoeteoides","Diplogrammus infulatus","Echelus uropterus","Echidna polyzona","Echinoidea","Enneapterygius hemimelas","Epinephelus fasciatus","Epinephelus hexagonatus","Epinephelus longispinis","Epinephelus macrospilos","Epinephelus merra","Eviota prasina","Foa brachygramma","Foraminifera sp1 FW_017","Fowleria aurita","Fusigobius neophytus","Gastropoda","Gnatholepis cauerensis","Gomphosus varius","Grammistes sexlineatus","Gymnothorax undulatus","Halichoeres hortulanus","Halichoeres scapularis","Halichoeres timorensis","Haliophis guttatus","Hippichthys cyanospilos","Holothuroidea","Inorganic","Insecta","Istiblennius edentulus","Istigobius spence","Labroides dimidiatus","Leiuranus semicinctus","Lepadichthys coccinotaenia","Leptoscarus vaigiensis","Lethrinus crocineus","Lethrinus harak","Lethrinus obsoletus","Lutjanus fulviflamma","Lutjanus gibbus","Lutjanus johnii","Medusozoa","Moringua microchir","Myripristis murdjan","Nectamia savayensis","Neoniphon sammara","Novaculoides macrolepidotus","Ophiuroidea sp1 FW_017","Oplopomus oplopomus","Ostorhinchus angustatus","Ostorhinchus cyanosoma","Ostorhinchus endekataenia","Ostracion meleagris","Oxycheilinus bimaculatus","Parascorpaena aurita","Parascorpaena picta","Parupeneus barberinus","Parupeneus macronemus","Pempheris oualensis","Pervagor melanocephalus","Petroscirtes mitratus","Plagiotremus rhinorhynchos","Plectorhinchus gaterinus","Plectroglyphidodon dickii","Plectroglyphidodon lacrymatus","Plesiops coeruleolineatus","Polyplacophora","Pomacanthus chrysurus","Pomacanthus semicirculatus","Pomacentrus caeruleus","Pomacentrus sulfureus","Pomacentrus tripunctatus","Porifera","Pristiapogon fraenatus","Pristiapogon kallopterus","Pseudocheilinus hexataenia","Pseudochromis natalensis","Pseudogramma polyacantha","Pteragogus flagellifer","Pterois volitans","Pycnogonida","Rhinecanthus aculeatus","Salarias fasciatus","Salarias sinuosus","Sargocentron diadema","Saurida gracilis","Scaphopoda","Scarus sp1 FW_017_03","Scorpaenodes guamensis","Scorpaenopsis gibbosa","Sebastapistes cyanostigma","Sebastapistes nuchalis","Sebastapistes strongia","Siganus canaliculatus","Stegastes fasciolatus","Stethojulis balteata","Stethojulis strigiventer","Stomatopoda","Sufflamen chrysopterum","Syngnathoides biaculeatus","Synodus variegatus","Taeniamia fucata","Thalassoma hardwicke","Thalassoma hebraicum","Tunicata","Vanderhorstia ornatissima","Worm","Zebrasoma flavescens","Zooplankton"
"Apogonichthyoides timorensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arothron hispidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arothron immaculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arothron nigropunctatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asterropteryx semipunctata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Balistapus undulatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",0.26,0.24,0.96,0,0,0.31,0.48,0.49,0.39,0,0.04,0,0.27,0.19,0.07,0.36,0.1,0,0,0.31,0,0,0.62,0.13,0.14,0.19,0.26,0,0,0.02,0.17,0,0,0,0.03,0,0,0,0.57,0.52,0.13,0.13,0.47,0.45,0.43,0.25,0,0,0,0,0,1,0.3,0.21,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.04,0,0.35,0,0,0,0.02,0,0.02,0,0,0,0,0,0.5,0.32,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.22,0,0,0,0.16,0,0,0,0,0,0,0.09,0.6,0,0,0.41,0.26,0,0,0.13,0.26,0.36,0.13,0.29,0,0,0,0,0,0,0,0,0,0,0.5,0.28,0.05,0,0,1,0,0,0,0,0,0.7,0.52,0,0,0,0.02,0,0,0,0.02,0.02,0,0,0,1,0
"Bivalvia",0,0.01,0,0,0,0.02,0,0,0,0,0,0,0.05,0.1,0,0,0.06,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0.02,0.08,0.16,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.02,0,0,0,0.09,0.16,0.14,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.01,0.02,0,0,0,0.03,0,0,0,0,0.01,0,0,0,0.05,0,0,0,0.02,0.06,0,0.08,0.02,0,0,0.06,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.02,0,0.17,0,0,0,0,0.05,0,0,0,0,0
"Blenniella periophthalmus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bothus pantherinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.1,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
"Calotomus spinidens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cantherhines sandwichiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canthigaster margaritata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canthigaster valentini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centropyge bispinosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cephalopholis argus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
